,Unnamed: 0,Line,Keyword_1,Keyword_2,Keyword_3,Keyword_4,Keyword_5,Keyword_6,Keyword_7,Keyword_8,Keyword_9,Keyword_10
0,1,0,Microcrystalline carbonate,Vein surfaces,Angular clasts,Rounded clasts,Alluvium thickness,Bedrock surfacing,Mixed lithologies,Serpentinization,Oxidation,Carbonation
1,2,1,network,veins,euhedral crystals,serpentinisation,carb veins,planes of weakness,dykes,oxidation,carbonation,bulk rock
2,3,2,Serpentinization,Mesh texture,Black veins,White carb veins,Dyke,Open cracks,Dunite,Gabbroioc dyke,Carbonation,Carb vein exploitation
3,4,3,Microbio,Sample,Serp,Dunite,Microgabbro,Dyke,Carb,Ox,Petrology,Geological Formation
4,5,4,Mesh texture,Black veins,Serp veins,Green serp,Carb veins,Gabbroic dyke,Euhedral crystals,Open crack,Dunite,Ox
5,6,5,irregular network,carbonate veins,cavities/voids,fibrous crystals,serp veins,open cracks,orientation,serp dunite,gabbroic dykes,oxidation
6,7,6,Irregular network,Black veins,White carb veins,Euhedral crystals,High carb vein intensity,Serp dunite,Oxide,Pale green to pale pink,Cataclased,Clasts
7,8,7,Irregular,Serpentine veins,Waxy green,Black,Brown,White carbonate veins,Open crack,Horizontal to vertical,Serpentinized dunite,Oxidized
8,9,8,carbonate veins,microbi sample,serpentine,dunite,alteration,0,0,0,0,0
9,10,9,Serpentine veins,Carbonate veins,Waxy green,Euhedral crystals,Irregular network,Sub-vertical,Open cracks,Dunite,Oxidized,Fine carbonate
10,11,10,Mesh texture,Serp veins,White carb veins,Reactivate,Subvertical vein,Cataclastic zone,Open crack,Thick carb veins,Altered gabbroic dyke,Modal px
11,12,11,Black serp,Irregular veins,Mesh texture,Bottle green,Waxy green,Carb veins,Subhorizontal,Voids/vughs,Open cracks,Altered gabbroic dyke
12,13,12,Mesh serp texture,Black vein net,Green serp veins,White carb vein network,Serp dunite,Altered gabbroic dykes,Serpentinisation,Oxidation,Lineation grooves,Open cracks
13,14,13,Black serpentine veinlets,Waxy green serp veins,Carbonate veins,Reactivating,Predominantly dip,Open cracks,Serpentinized dunites,Horizontal oxidized gabbroic dyke,Mesh and vein net,Intense serpentinisation
14,15,14,black,serpentine,veins,white,carbonate,microbiology,dunite,mesh,oxidation,network
15,16,15,serpentine veins,carbonate veins,gabbro dyke,open cracking,lineation grooves,cataclasite,dunite,altered gabbroic dykes,magnetite,oxidised contacts
16,17,16,Black vein net,Dunite,Green black serp veins,Carbonate,Rim,White carb vein net,Dyke,Composite vein,Open cracks,Serpentinised
17,18,17,mesh serp,black serp vein,carb,finer vein net,carbonate veins,open cracks,altered gabbroic dykes,serp,ox,serpentinisation
18,19,18,Black serp veins,Green and black veins,Carbonates,White carb veins,Milky white veins,Shera zone,Grain size reduction,Displaced dyke,Altered gabbroic dykes,Oxidation
19,20,19,Black serp vein net,green black serp thicker veins,carb,intense vein net,dyke contact,open cracks,serp dunite,altered gabbroic dyke,ox,0
20,21,20,serp,dunite,mantle,rocks,geology,metamorphism,minerals,tectonic,processes,geothermal
21,22,21,Black serp vein,Steeply dipping,Waxy green,Carb vein,Serp clasts,Vughs lineation,Crak surface,Gabbroic dyke,Serpentinisation,Oxides (magnetite)
22,23,22,mesh serp,irregular black serp vein net,green and black veins,altered and oxidised,cataclastic texture,open cracks,serp dunite,gabbroic dyke,low altered pyroxenes,0
23,24,23,Black,Serpentine,Veins,Green,Carbonate,White,Gabbro,Dyke,Oxidation,Pyroxenes
24,25,24,Serpentine,Dunite,Carbonate,Oxidation,Mantle,Alteration,Mineralogy,Petrology,Serpentinite,Geology
25,26,25,Black serpentine,Waxy green,Thick veins,Carbonate veins,Magnetite-rich,Dip angle,Sub-vertical,Open crack,Serp dunite,Oxidation
26,27,26,Black Serp,Green Waxy,Thin Carbonate,Gabbroic Dykes,Veinlets,Oxides,Horizontal Cracks,White Carbonate,Hematite,Serpentinisation
27,28,27,Black serp vein net,Waxy green,Thicker veins,Cataclastic,Red oxidized zone,Fine white carbonate veins,Sub-horizontal,Open crack,Serp dunite,Serpentinisation
28,29,28,Black,Serpentine,Carb Veins,Concentrate,Open Cracks,Fragmented,Dunite,Gabbroic Dykes,Oxides,Magnesite
29,30,29,Serp veins,Carb veins,Magnetite,Oxidation,Vein dip,Lineations,Open crack,Serpentinisation,Carbonation,Thickness
30,31,30,black serp,net,oxidized veins,hematite,fault breccia,lineations,dunite,magnetite,carbonate veins,fracturing
31,32,31,Black Serpentine,Vein Net,Carb Veins,Fractured,Lineation,Serpentine Dunite,Magnetite,Oxidation,Bulk Rock,19-24 cm
32,33,32,Serpentinisation,Carbonation,Veins,Serpentine,Carb,Dunite,Magnetite,Crystals,Opx,Lineation
33,34,33,Serpentine,Carbonation,Vein,Microcrystalline,Calcite,Lineation,Harzburgite,Opx,Black vein network,Serpentinization
34,35,34,Carb veins,Green-white mineral,Dendritic magnetite,Altered gabbro dyke,Micro to coarse textures,Highly altered,Chlorite,Serp,Epidote,Diopsidite
35,36,35,glassy white vein,chlorite,diopsidite,fine carb veins,black serp,carb vein,unit lineation,open surface,altered gabbro,oxidized
